Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,1uF,
"C10, C9",0805,2,1uF,
"C11, C12, C15, C3, C4, C5, C6, C7, C8",0603,9,100n,
C13,0805,1,29pF,
C14,0805,1,27pF,
D1,D_SOD-123F,1,MBR1020VL,
D2,1206,1,LED_25,
D3,1206,1,PWR,
J1,GCT_USB4085-GF-A_REVB,1,USB4085-GF-A_REVB,
J2,PinHeader_1x03_P2.54mm_Vertical,1,DEBUG,
MT1,XDCR_PEC11R-4215F-S0024,1,PEC11R-4215F-S0024,
R1,1206,1,1M,
"R10, R7",0603,2,27.4,
"R11, R4, R5",1206,3,10k,
"R12, R13, R14, R15",1206,4,1k,
"R16, R6",1206,2,470,
"R2, R3",1206,2,5.1k,
R8,0603,1,DNP,
R9,0603,1,1k,
SW1,SW_PUSH_6mm,1,BOOT_SEL,
TP1,TestPoint_Pad_D1.5mm,1,RUN,
TP2,TestPoint_Pad_D1.5mm,1,1V1,
TP3,TestPoint_Pad_D1.5mm,1,3V3,
TP4,TestPoint_Pad_D1.5mm,1,5V,
TP5,TestPoint_Pad_D1.5mm,1,GND,
U1,SOT95P285X140-5N,1,AP2112K-3.3TRG1,
U2,QFN40P700X700X90-57N,1,SC0914_13_,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSS,
Y1,XTAL_ABLS7M-12.000MHZ-B-2-T,1,12MHz,
