Designator,Mid X,Mid Y,Rotation,Layer
C1,211.1375,-52.6,180.0,top
C10,244.0375,-60.8,180.0,top
C11,244.6,-77.2625,270.0,top
C12,236.1,-60.1,90.0,top
C13,236.1375,-86.175,180.0,top
C14,242.0625,-86.175,0.0,top
C15,227.9375,-61.2,0.0,top
C2,209.5625,-63.0,180.0,top
C3,237.8,-60.1,90.0,top
C4,247.3625,-65.7,0.0,top
C5,247.3625,-68.975,0.0,top
C6,233.4,-68.3375,90.0,top
C7,230.7375,-65.4,180.0,top
C8,242.6,-77.2625,270.0,top
C9,247.5375,-63.7,180.0,top
D1,216.8,-52.6,0.0,top
D2,247.2,-85.5,90.0,top
D3,206.2,-66.2,0.0,top
J1,227.75,-52.4875,180.0,bottom
J2,234.985,-96.4,90.0,top
MT1,225.0,-75.0,0.0,top
R1,240.58,-53.15,270.0,top
R10,239.5,-60.1,90.0,top
R11,216.85,-56.6,0.0,top
R12,214.2,-63.6,90.0,top
R13,219.8,-87.55,90.0,top
R14,225.0,-87.55,90.0,top
R15,230.2,-87.55,90.0,top
R16,242.05,-89.8,180.0,top
R2,232.8,-53.15,270.0,top
R3,236.69,-53.15,270.0,top
R4,205.5,-60.9,90.0,top
R5,247.2,-79.5,270.0,top
R6,203.2,-71.55,270.0,top
R7,241.2,-60.1,90.0,top
R9,240.0,-77.2875,90.0,top
SW1,211.15,-73.6,180.0,top
U1,210.6,-57.985,270.0,top
U2,239.165,-68.575,0.0,top
U3,220.6,-61.295,270.0,top
Y1,239.1,-82.175,0.0,top
